benchmark,total_time,solved
3.1,10.132399082183838,True
3.2,10.134771823883057,True
3.3,10.126243352890015,True
3.4,10.122211694717407,True
3.5,10.131221771240234,True
3.6,10.135132074356079,True
3.7,10.1697416305542,True
3.8,10.122638463973999,True
3.9,10.120522022247314,True
3.10,10.132177591323853,True
4.1,10.162182807922363,True
4.2,10.173890590667725,True
4.3,10.176485776901245,True
4.4,10.178460359573364,True
4.5,10.15845251083374,True
4.6,10.160322666168213,True
4.7,10.157898902893066,True
4.8,10.138793706893921,True
4.9,10.140799522399902,True
4.10,10.13450026512146,True
5.1,10.188743114471436,True
5.2,10.177794456481934,True
5.3,10.182931423187256,True
5.4,10.199120283126831,True
5.5,10.183419942855835,True
5.6,10.179037094116211,True
5.7,10.162432193756104,True
5.8,10.186821937561035,True
5.9,10.190061569213867,True
5.10,10.182507038116455,True
6.1,10.204513788223267,True
6.2,10.199219703674316,True
6.3,10.212616205215454,True
6.4,10.193495035171509,True
6.5,10.20639181137085,True
6.6,10.199520587921143,True
6.7,10.222822904586792,True
6.8,10.200451850891113,True
6.9,10.216291904449463,True
6.10,10.222134351730347,True
7.1,10.270630121231079,True
7.2,10.336732149124146,True
7.3,10.25411057472229,True
7.4,10.388934850692749,True
7.5,10.394214153289795,True
7.6,10.261076211929321,True
7.7,10.319763898849487,True
7.8,10.265788555145264,True
7.9,10.244398832321167,True
7.10,10.25832724571228,True
8.1,10.324328422546387,True
8.2,10.274365186691284,True
8.3,10.29680871963501,True
8.4,10.299686431884766,True
8.5,10.314504861831665,True
8.6,10.449172019958496,True
8.7,10.377410888671875,True
8.8,10.3152916431427,True
8.9,10.360121488571167,True
8.10,10.292674779891968,True
9.1,10.482593774795532,True
9.2,10.357189416885376,True
9.3,10.552989959716797,True
9.4,10.383968591690063,True
9.5,10.469658136367798,True
9.6,10.373199939727783,True
9.7,10.334427833557129,True
9.8,10.34800124168396,True
9.9,10.386350154876709,True
9.10,10.38155722618103,True
10.1,10.558294534683228,True
10.2,10.426552772521973,True
10.3,10.605391502380371,True
10.4,10.518757820129395,True
10.5,10.439876079559326,True
10.6,10.589295148849487,True
10.7,10.416054010391235,True
10.8,10.590083360671997,True
10.9,10.998914957046509,True
10.10,10.46251916885376,True
11.1,10.701987504959106,True
11.2,10.498545169830322,True
11.3,10.436466455459595,True
11.4,10.849186658859253,True
11.5,10.587767124176025,True
11.6,10.585855960845947,True
11.7,10.461538553237915,True
11.8,10.57481575012207,True
11.9,10.448949098587036,True
11.10,10.476809978485107,True
12.1,10.669176816940308,True
12.2,10.545276880264282,True
12.3,10.780221223831177,True
12.4,11.361352920532227,True
12.5,10.731423377990723,True
12.6,10.779199838638306,True
12.7,10.548859357833862,True
12.8,11.00939679145813,True
12.9,10.5955171585083,True
12.10,10.603270053863525,True
