benchmark,total_time,solved
 3.1,5.12, True
 3.2,5.11, True
 3.3,5.11, True
 3.4,5.11, True
 3.5,5.11, True
 3.6,5.09, True
 3.7,5.11, True
 3.8,5.11, True
 3.9,5.09, True
 3.10,5.11, True
 4.1,5.25, True
 4.2,5.19, True
 4.3,5.16, True
 4.4,5.25, True
 4.5,5.14, True
 4.6,5.21, True
 4.7,5.24, True
 4.8,5.13, True
 4.9,5.13, True
 4.10,5.11, True
 5.1,5.33, True
 5.2,5.28, True
 5.3,5.33, True
 5.4,6.02, True
 5.5,5.39, True
 5.6,5.22, True
 5.7,5.15, True
 5.8,5.41, True
 5.9,5.36, True
 5.10,5.41, True
 6.1,5.25, True
 6.2,5.23, True
 6.3,5.42, True
 6.4,5.21, True
 6.5,5.23, True
 6.6,5.22, True
 6.7,5.39, True
 6.8,5.25, True
 6.9,5.42, True
 6.10,5.41, True
 7.1,5.77, True
 7.2,78.60, True
 7.3,5.38, True
 7.4,12.67, True
 7.5,300.04, False
 7.6,5.64, True
 7.7,22.51, True
 7.8,6.04, True
 7.9,5.34, True
 7.10,5.53, True
 8.1,10.09, True
 8.2,5.29, True
 8.3,5.92, True
 8.4,5.47, True
 8.5,5.95, True
 8.6,300.10, False
 8.7,15.56, True
 8.8,6.37, True
 8.9,300.10, False
 8.10,5.43, True
 9.1,16.77, True
 9.2,5.93, True
 9.3,300.01, False
 9.4,25.21, True
 9.5,300.04, False
 9.6,9.67, True
 9.7,5.51, True
 9.8,5.70, True
 9.9,14.29, True
 9.10,12.07, True
 10.1,187.15, True
 10.2,6.54, True
 10.3,300.10, False
 10.4,300.08, False
 10.5,34.17, True
 10.6,300.00, False
 10.7,7.82, True
 10.8,300.03, False
 10.9,300.10, False
 10.10,300.10, False
 11.1,300.10, False
 11.2,17.07, True
 11.3,5.57, True
 11.4,300.10, False
 11.5,300.09, False
 11.6,300.10, False
 11.7,8.44, True
 11.8,15.57, True
 11.9,5.81, True
 11.10,158.74, True
 12.1,300.04, False
 12.2,300.10, False
 12.3,300.05, False
 12.4,300.01, False
 12.5,300.10, False
 12.6,300.05, False
 12.7,13.46, True
 12.8,300.10, False
 12.9,300.10, False
 12.10,43.22, True
 13.1,7.75, True
 13.2,300.10, False
 13.3,300.05, False
 13.4,300.04, False
 13.5,300.10, False
 13.6,300.10, False
 13.7,300.07, False
 13.8,300.10, False
 13.9,300.10, False
 13.10,300.01, False
 14.1,300.10, False
 14.2,300.10, False
 14.3,300.02, False
 14.4,300.03, False
 14.5,300.10, False
 14.6,300.10, False
 14.7,300.10, False
 14.8,300.10, False
 14.9,254.68, True
 14.10,300.10, False
 15.1,300.10, False
 15.2,300.04, False
 15.3,300.10, False
 15.4,300.10, False
 15.5,300.03, False
 15.6,300.10, False
 15.7,15.92, True
 15.8,300.04, False
 15.9,300.04, False
 15.10,300.10, False
 16.1,300.10, False
 16.2,300.10, False
 16.3,300.09, False
 16.4,300.10, False
 16.5,300.10, False
 16.6,300.10, False
 16.7,300.10, False
 16.8,24.09, True
 16.9,300.03, False
 16.10,300.04, False
 17.1,300.10, False
 17.2,300.10, False
 17.3,300.10, False
 17.4,24.62, True
 17.5,300.10, False
 17.6,300.10, False
 17.7,300.07, False
 17.8,300.10, False
 17.9,300.10, False
 17.10,300.10, False
 18.1,300.10, False
 18.2,300.10, False
 18.3,300.03, False
 18.4,300.10, False
 18.5,300.10, False
 18.6,300.02, False
 18.7,300.10, False
 18.8,300.10, False
 18.9,300.01, False
 18.10,300.10, False
 19.1,300.08, False
 19.2,300.10, False
 19.3,300.10, False
 19.4,300.06, False
 19.5,300.10, False
 19.6,300.01, False
 19.7,300.10, False
 19.8,300.06, False
 19.9,300.10, False
 19.10,300.00, False
 20.1,300.10, False
 20.2,300.10, False
 20.3,300.02, False
 20.4,300.10, False
 20.5,300.10, False
 20.6,300.01, False
 20.7,300.09, False
 20.8,300.10, False
 20.9,300.06, False
 20.10,300.10, False
 21.1,300.10, False
 21.2,300.10, False
 21.3,300.07, False
 21.4,300.03, False
 21.5,300.10, False
 21.6,300.07, False
 21.7,300.10, False
 21.8,300.10, False
 21.9,300.07, False
 21.10,300.10, False
 22.1,300.10, False
 22.2,300.10, False
 22.3,300.02, False
 22.4,300.07, False
 22.5,300.07, False
 22.6,300.09, False
 22.7,300.10, False
 22.8,300.04, False
 22.9,300.09, False
 22.10,300.10, False
 23.1,300.10, False
 23.2,300.10, False
 23.3,300.09, False
 23.4,300.10, False
 23.5,300.10, False
 23.6,300.10, False
 23.7,300.07, False
 23.8,300.10, False
 23.9,300.10, False
 23.10,300.05, False
 24.1,300.01, False
 24.2,300.01, False
 24.3,300.09, False
 24.4,300.08, False
 24.5,300.09, False
 24.6,300.10, False
 24.7,300.04, False
 24.8,300.09, False
 24.9,300.01, False
 24.10,300.10, False
 25.1,300.10, False
 25.2,300.10, False
 25.3,300.10, False
 25.4,300.06, False
 25.5,300.00, False
 25.6,300.10, False
 25.7,300.10, False
 25.8,300.02, False
 25.9,300.10, False
 25.10,300.10, False
 26.1,300.10, False
 26.2,300.10, False
