benchmark,total_time,solved
3.1,301.30919838300906,False
3.2,301.751041918993,False
3.3,302.46167378593236,False
3.4,300.910952129052,False
3.5,301.28454609494656,False
3.6,302.40346148901153,False
3.7,301.75201601395383,False
3.8,300.9263203489827,False
3.9,310.80355721199885,False
3.10,301.61637310509104,False
4.1,300.539792535943,False
4.2,300.1002051830292,False
4.3,300.1010201049503,False
4.4,300.0998140730662,False
4.5,300.1007139990106,False
4.6,302.7028708430007,False
4.7,300.3906375259394,False
4.8,300.09974210802466,False
4.9,300.099946278031,False
4.10,301.89436547493096,False
5.1,303.7042734969873,False
5.2,304.27804660901893,False
5.3,307.84659440396354,False
5.4,302.48540570703335,False
5.5,302.98668659001123,False
5.6,313.2295904168859,False
5.7,319.01488448900636,False
5.8,303.3783199900063,False
5.9,303.72189145802986,False
5.10,305.27970772900153,False
6.1,301.81838332209736,False
6.2,300.0993315210799,False
6.3,300.0998720040079,False
6.4,300.10059030505363,False
6.5,300.1006650470663,False
6.6,300.09905979491305,False
6.7,300.10103875701316,False
6.8,300.0983504760079,False
6.9,300.1002694920171,False
6.10,300.10021545900963,False
7.1,300.10203167796135,False
7.2,300.101280777948,False
7.3,300.10084784403443,False
7.4,300.0982761309715,False
7.5,300.0989667190006,False
7.6,300.10007176501676,False
7.7,300.1000809109537,False
7.8,300.0998637439916,False
7.9,300.09888677101117,False
7.10,300.0979209790239,False
8.1,300.09753351600375,False
8.2,300.09944846096914,False
8.3,300.10115924698766,False
8.4,300.1004080401035,False
8.5,300.10046619398054,False
8.6,300.1006399350008,False
8.7,300.10085124208126,False
8.8,300.1009858180769,False
8.9,300.1005079449387,False
8.10,300.09996425395366,False
9.1,300.1003263310995,False
9.2,300.10035678592976,False
9.3,300.10033776203636,False
9.4,300.097385658999,False
9.5,300.1006109119626,False
9.6,300.09797596302815,False
9.7,300.1000739739975,False
9.8,300.10118246707134,False
9.9,300.00590015400667,False
9.10,300.034446315025,False
10.1,300.1012991659809,False
10.2,300.1014640319627,False
10.3,300.0976042620605,False
10.4,300.10136430501007,False
10.5,300.09992197703104,False
10.6,300.10086805105675,False
10.7,300.0451287170872,False
10.8,300.09843067708425,False
10.9,300.10007408901583,False
10.10,300.09945291792974,False
11.1,300.0978128419956,False
11.2,300.1009617059026,False
11.3,300.04347642394714,False
11.4,300.0984899379546,False
11.5,300.09993736899924,False
11.6,300.0993630810408,False
11.7,300.0914471350843,False
11.8,300.0987927499227,False
11.9,300.0990355949616,False
11.10,300.0989062950248,False
12.1,300.00282441894524,False
12.2,300.10039223905187,False
12.3,300.09803296800237,False
12.4,300.0985768690007,False
12.5,300.09935635502916,False
12.6,300.01982423104346,False
12.7,300.0977176830638,False
12.8,300.0993393639801,False
12.9,300.09725285798777,False
12.10,300.09825779194944,False
