benchmark,width,Xwidth,XDwidth
./benchmarks/concom/grids/problog_format/grid_5_10_1_12.pl,8,13,8
./benchmarks/concom/grids/problog_format/grid_10_3_3_28.pl,5,30,6
./benchmarks/concom/grids/problog_format/grid_9_5_2_27.pl,8,30,12
./benchmarks/concom/grids/problog_format/grid_4_8_7_73.pl,6,75,6
./benchmarks/concom/grids/problog_format/grid_5_8_0_3.pl,8,9,9
./benchmarks/concom/grids/problog_format/grid_8_7_5_108.pl,11,112,31
./benchmarks/concom/grids/problog_format/grid_3_10_1_12.pl,5,13,8
./benchmarks/concom/grids/problog_format/grid_9_10_5_108.pl,14,110,29
./benchmarks/concom/grids/problog_format/grid_9_5_7_104.pl,8,106,10
./benchmarks/concom/grids/problog_format/grid_10_8_7_176.pl,14,180,15
./benchmarks/concom/grids/problog_format/grid_8_4_5_60.pl,7,63,8
./benchmarks/concom/grids/problog_format/grid_6_2_5_21.pl,4,22,4
./benchmarks/concom/grids/problog_format/grid_6_8_5_96.pl,9,99,13
./benchmarks/concom/grids/problog_format/grid_3_8_5_42.pl,5,43,6
./benchmarks/concom/grids/problog_format/grid_3_5_0_3.pl,5,5,5
./benchmarks/concom/grids/problog_format/grid_5_2_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_6_10_6_112.pl,11,116,11
./benchmarks/concom/grids/problog_format/grid_9_9_7_192.pl,13,197,44
./benchmarks/concom/grids/problog_format/grid_5_7_0_3.pl,8,8,8
./benchmarks/concom/grids/problog_format/grid_8_8_1_12.pl,13,13,13
./benchmarks/concom/grids/problog_format/grid_6_9_2_27.pl,9,30,12
./benchmarks/concom/grids/problog_format/grid_2_5_1_8.pl,4,9,4
./benchmarks/concom/grids/problog_format/grid_9_3_0_3.pl,5,5,5
./benchmarks/concom/grids/problog_format/grid_5_2_4_17.pl,4,18,4
./benchmarks/concom/grids/problog_format/grid_5_3_0_3.pl,5,5,5
./benchmarks/concom/grids/problog_format/grid_3_4_0_3.pl,5,5,5
./benchmarks/concom/grids/problog_format/grid_8_5_4_65.pl,8,67,8
./benchmarks/concom/grids/problog_format/grid_6_7_1_12.pl,9,13,9
./benchmarks/concom/grids/problog_format/grid_8_7_7_139.pl,11,142,11
./benchmarks/concom/grids/problog_format/grid_10_4_7_80.pl,6,82,8
./benchmarks/concom/grids/problog_format/grid_5_9_4_65.pl,8,67,9
./benchmarks/concom/grids/problog_format/grid_10_4_2_27.pl,7,29,11
./benchmarks/concom/grids/problog_format/grid_3_8_1_12.pl,5,13,8
./benchmarks/concom/grids/problog_format/grid_3_8_2_21.pl,5,22,6
./benchmarks/concom/grids/problog_format/grid_9_7_5_108.pl,11,112,29
./benchmarks/concom/grids/problog_format/grid_10_9_8_225.pl,14,229,18
./benchmarks/concom/grids/problog_format/grid_8_6_6_112.pl,11,115,12
./benchmarks/concom/grids/problog_format/grid_2_6_3_16.pl,4,17,4
./benchmarks/concom/grids/problog_format/grid_7_5_3_48.pl,8,51,15
./benchmarks/concom/grids/problog_format/grid_6_9_5_96.pl,11,98,11
./benchmarks/concom/grids/problog_format/grid_2_8_3_16.pl,4,17,4
./benchmarks/concom/grids/problog_format/grid_8_9_8_183.pl,13,187,13
./benchmarks/concom/grids/problog_format/grid_7_8_6_133.pl,11,136,13
./benchmarks/concom/grids/problog_format/grid_7_9_3_48.pl,11,52,15
./benchmarks/concom/grids/problog_format/grid_6_2_4_20.pl,4,21,4
./benchmarks/concom/grids/problog_format/grid_8_5_7_95.pl,8,98,8
./benchmarks/concom/grids/problog_format/grid_6_4_4_50.pl,6,52,7
./benchmarks/concom/grids/problog_format/grid_9_10_0_3.pl,14,14,14
./benchmarks/concom/grids/problog_format/grid_2_8_7_29.pl,4,30,4
./benchmarks/concom/grids/problog_format/grid_7_2_4_20.pl,4,21,4
./benchmarks/concom/grids/problog_format/grid_5_8_1_12.pl,8,13,8
./benchmarks/concom/grids/problog_format/grid_10_8_8_198.pl,13,202,15
./benchmarks/concom/grids/problog_format/grid_5_9_0_3.pl,9,8,8
./benchmarks/concom/grids/problog_format/grid_4_3_0_3.pl,5,5,5
./benchmarks/concom/grids/problog_format/grid_9_10_6_147.pl,14,152,39
./benchmarks/concom/grids/problog_format/grid_9_3_2_21.pl,5,22,5
./benchmarks/concom/grids/problog_format/grid_4_7_4_50.pl,6,52,8
./benchmarks/concom/grids/problog_format/grid_3_9_8_58.pl,5,59,5
./benchmarks/concom/grids/problog_format/grid_10_10_0_3.pl,16,16,16
