benchmark,width,Xwidth,XDwidth
./benchmarks/map/gh/problog_format/gh_9_0_6_31.pl,15,36,36
./benchmarks/map/gh/problog_format/gh_13_0_7_4.pl,20,22,22
./benchmarks/map/gh/problog_format/gh_8_0_0_32.pl,13,35,35
./benchmarks/map/gh/problog_format/gh_10_0_9_14.pl,14,22,22
./benchmarks/map/gh/problog_format/gh_6_0_3_15.pl,9,17,15
./benchmarks/map/gh/problog_format/gh_11_0_1_52.pl,18,58,58
./benchmarks/map/gh/problog_format/gh_4_0_4_3.pl,5,6,6
./benchmarks/map/gh/problog_format/gh_3_0_5_3.pl,4,5,5
./benchmarks/map/gh/problog_format/gh_2_0_6_1.pl,2,2,2
./benchmarks/map/gh/problog_format/gh_2_0_7_0.pl,2,2,2
./benchmarks/map/gh/problog_format/gh_13_0_1_76.pl,20,82,83
./benchmarks/map/gh/problog_format/gh_9_0_5_27.pl,13,32,32
./benchmarks/map/gh/problog_format/gh_7_0_5_6.pl,11,13,13
./benchmarks/map/gh/problog_format/gh_8_0_9_17.pl,11,22,22
./benchmarks/map/gh/problog_format/gh_6_0_0_18.pl,9,20,20
./benchmarks/map/gh/problog_format/gh_10_0_5_41.pl,14,46,46
./benchmarks/map/gh/problog_format/gh_11_0_2_23.pl,17,32,32
./benchmarks/map/gh/problog_format/gh_10_0_4_44.pl,15,49,49
./benchmarks/map/gh/problog_format/gh_11_0_6_51.pl,16,55,56
./benchmarks/map/gh/problog_format/gh_11_0_4_46.pl,17,52,52
./benchmarks/map/gh/problog_format/gh_6_0_6_18.pl,9,20,20
./benchmarks/map/gh/problog_format/gh_9_0_4_20.pl,15,26,26
./benchmarks/map/gh/problog_format/gh_12_0_8_55.pl,20,63,64
./benchmarks/map/gh/problog_format/gh_14_0_5_94.pl,21,105,104
./benchmarks/map/gh/problog_format/gh_9_0_3_31.pl,14,36,35
./benchmarks/map/gh/problog_format/gh_5_0_2_2.pl,7,7,7
./benchmarks/map/gh/problog_format/gh_14_0_2_12.pl,23,27,27
./benchmarks/map/gh/problog_format/gh_7_0_7_14.pl,10,18,18
./benchmarks/map/gh/problog_format/gh_9_0_1_5.pl,16,17,17
./benchmarks/map/gh/problog_format/gh_5_0_0_0.pl,7,7,7
./benchmarks/map/gh/problog_format/gh_8_0_4_20.pl,12,23,23
./benchmarks/map/gh/problog_format/gh_11_0_5_21.pl,18,31,31
./benchmarks/map/gh/problog_format/gh_15_0_8_35.pl,28,49,49
./benchmarks/map/gh/problog_format/gh_2_0_0_1.pl,2,2,2
./benchmarks/map/gh/problog_format/gh_12_0_1_56.pl,19,61,61
./benchmarks/map/gh/problog_format/gh_11_0_0_1.pl,18,18,18
./benchmarks/map/gh/problog_format/gh_12_0_7_73.pl,19,78,88
./benchmarks/map/gh/problog_format/gh_5_0_7_11.pl,7,13,13
./benchmarks/map/gh/problog_format/gh_15_0_9_3.pl,24,25,25
./benchmarks/map/gh/problog_format/gh_10_0_7_0.pl,14,14,14
./benchmarks/map/gh/problog_format/gh_9_0_9_22.pl,14,29,28
./benchmarks/map/gh/problog_format/gh_5_0_9_13.pl,7,15,7
./benchmarks/map/gh/problog_format/gh_12_0_2_55.pl,20,62,61
./benchmarks/map/gh/problog_format/gh_11_0_7_22.pl,18,30,30
./benchmarks/map/gh/problog_format/gh_15_0_5_4.pl,27,27,27
./benchmarks/map/gh/problog_format/gh_6_0_4_7.pl,8,12,12
./benchmarks/map/gh/problog_format/gh_2_0_9_0.pl,2,2,2
./benchmarks/map/gh/problog_format/gh_7_0_2_10.pl,11,16,16
./benchmarks/map/gh/problog_format/gh_12_0_6_6.pl,20,22,22
./benchmarks/map/gh/problog_format/gh_2_0_1_0.pl,2,2,2
./benchmarks/map/gh/problog_format/gh_7_0_3_21.pl,12,24,24
./benchmarks/map/gh/problog_format/gh_13_0_4_11.pl,20,24,24
./benchmarks/map/gh/problog_format/gh_12_0_4_59.pl,19,64,63
./benchmarks/map/gh/problog_format/gh_11_0_8_53.pl,18,59,58
./benchmarks/map/gh/problog_format/gh_3_0_6_0.pl,4,4,4
./benchmarks/map/gh/problog_format/gh_4_0_5_6.pl,5,7,5
./benchmarks/map/gh/problog_format/gh_7_0_1_1.pl,9,9,9
./benchmarks/map/gh/problog_format/gh_14_0_8_0.pl,24,24,24
./benchmarks/map/gh/problog_format/gh_15_0_2_36.pl,25,49,49
./benchmarks/map/gh/problog_format/gh_6_0_9_17.pl,9,19,19
./benchmarks/map/gh/problog_format/gh_4_0_8_7.pl,5,8,5
./benchmarks/map/gh/problog_format/gh_15_0_7_25.pl,24,39,39
./benchmarks/map/gh/problog_format/gh_15_0_3_33.pl,26,48,48
./benchmarks/map/gh/problog_format/gh_14_0_9_85.pl,21,91,92
./benchmarks/map/gh/problog_format/gh_7_0_9_20.pl,10,23,23
./benchmarks/map/gh/problog_format/gh_4_0_3_2.pl,5,5,5
./benchmarks/map/gh/problog_format/gh_7_0_8_21.pl,11,23,20
./benchmarks/map/gh/problog_format/gh_8_0_6_19.pl,11,23,23
./benchmarks/map/gh/problog_format/gh_10_0_3_7.pl,14,17,17
./benchmarks/map/gh/problog_format/gh_15_0_4_99.pl,24,111,110
./benchmarks/map/gh/problog_format/gh_3_0_2_0.pl,4,4,4
./benchmarks/map/gh/problog_format/gh_14_0_0_16.pl,20,30,30
./benchmarks/map/gh/problog_format/gh_3_0_9_0.pl,4,4,4
./benchmarks/map/gh/problog_format/gh_3_0_3_3.pl,4,4,4
./benchmarks/map/gh/problog_format/gh_7_0_0_0.pl,10,10,10
./benchmarks/map/gh/problog_format/gh_3_0_8_4.pl,4,5,4
./benchmarks/map/gh/problog_format/gh_7_0_4_6.pl,9,13,13
./benchmarks/map/gh/problog_format/gh_14_0_4_49.pl,22,57,57
./benchmarks/map/gh/problog_format/gh_5_0_3_2.pl,7,8,8
