benchmark,width,Xwidth,XDwidth
./benchmarks/meu/earthquake_2_1400227407.pl,8,8,8
./benchmarks/meu/asia_1_1400227407.pl,5,5,5
./benchmarks/meu/child_1_1400227407.pl,20,20,20
./benchmarks/meu/survey_2_1807131032.pl,17,17,17
./benchmarks/meu/child_2_1588920084.pl,55,55,55
./benchmarks/meu/asia_2_1807131032.pl,11,11,11
./benchmarks/meu/win95pts_2_548563996.pl,99,118,118
./benchmarks/meu/win95pts_1_1592975436.pl,15,36,36
./benchmarks/meu/asia_1_1337671202.pl,5,5,5
./benchmarks/meu/child_1_548563996.pl,19,19,19
./benchmarks/meu/survey_1_769949150.pl,9,11,11
./benchmarks/meu/sachs_1_548563996.pl,18,18,18
./benchmarks/meu/earthquake_2_2023896565.pl,8,8,8
./benchmarks/meu/survey_1_1707665179.pl,10,10,10
./benchmarks/meu/child_2_1337671202.pl,56,56,56
./benchmarks/meu/survey_1_1337671202.pl,10,10,10
./benchmarks/meu/sachs_1_1337671202.pl,18,19,19
./benchmarks/meu/win95pts_2_1588920084.pl,105,114,114
./benchmarks/meu/sachs_2_1807131032.pl,38,38,38
./benchmarks/meu/child_1_1482723311.pl,19,20,20
./benchmarks/meu/asia_2_548563996.pl,11,11,11
./benchmarks/meu/survey_2_769949150.pl,17,17,17
./benchmarks/meu/child_1_1592975436.pl,19,20,21
./benchmarks/meu/child_2_1482723311.pl,58,58,58
./benchmarks/meu/earthquake_2_1592975436.pl,8,8,8
./benchmarks/meu/win95pts_1_1400227407.pl,15,36,36
./benchmarks/meu/survey_2_2023896565.pl,17,17,17
./benchmarks/meu/earthquake_1_1400227407.pl,5,5,5
./benchmarks/meu/win95pts_1_1707665179.pl,15,36,36
./benchmarks/meu/child_1_2023896565.pl,19,22,22
./benchmarks/meu/asia_2_1337671202.pl,11,11,11
./benchmarks/meu/asia_2_1588920084.pl,11,11,11
./benchmarks/meu/child_2_1707665179.pl,56,58,58
./benchmarks/meu/child_2_1592975436.pl,56,56,56
./benchmarks/meu/survey_1_1400227407.pl,10,10,10
./benchmarks/meu/sachs_1_769949150.pl,18,20,20
./benchmarks/meu/sachs_2_548563996.pl,36,36,36
./benchmarks/meu/asia_1_1592975436.pl,5,5,5
./benchmarks/meu/child_1_769949150.pl,19,22,21
./benchmarks/meu/earthquake_1_1337671202.pl,5,5,5
./benchmarks/meu/survey_2_1400227407.pl,17,17,17
./benchmarks/meu/win95pts_1_1588920084.pl,15,36,36
./benchmarks/meu/asia_1_548563996.pl,5,5,5
./benchmarks/meu/earthquake_1_1592975436.pl,5,5,5
./benchmarks/meu/asia_1_1807131032.pl,5,5,5
./benchmarks/meu/survey_1_2023896565.pl,10,10,10
./benchmarks/meu/win95pts_2_1337671202.pl,82,100,100
./benchmarks/meu/earthquake_2_769949150.pl,8,8,8
./benchmarks/meu/win95pts_2_1400227407.pl,85,113,113
./benchmarks/meu/sachs_1_1807131032.pl,18,19,19
./benchmarks/meu/survey_2_1337671202.pl,17,17,17
./benchmarks/meu/sachs_1_1707665179.pl,18,19,19
./benchmarks/meu/win95pts_2_1807131032.pl,101,101,101
./benchmarks/meu/sachs_1_1400227407.pl,18,19,19
./benchmarks/meu/win95pts_2_1592975436.pl,94,101,101
./benchmarks/meu/sachs_1_1592975436.pl,18,18,18
./benchmarks/meu/survey_2_1588920084.pl,17,17,17
./benchmarks/meu/asia_2_1482723311.pl,11,11,11
./benchmarks/meu/sachs_2_769949150.pl,38,38,38
./benchmarks/meu/earthquake_2_1807131032.pl,8,8,8
./benchmarks/meu/sachs_2_1482723311.pl,38,38,38
./benchmarks/meu/asia_2_1707665179.pl,11,11,11
./benchmarks/meu/earthquake_1_1482723311.pl,5,5,5
./benchmarks/meu/asia_1_1482723311.pl,5,5,5
./benchmarks/meu/win95pts_2_769949150.pl,98,104,104
./benchmarks/meu/child_2_1400227407.pl,59,59,59
./benchmarks/meu/survey_2_548563996.pl,17,17,17
./benchmarks/meu/win95pts_2_1482723311.pl,89,114,114
./benchmarks/meu/child_1_1707665179.pl,18,22,22
./benchmarks/meu/survey_1_548563996.pl,10,10,10
./benchmarks/meu/survey_1_1482723311.pl,10,10,10
./benchmarks/meu/win95pts_1_1482723311.pl,15,36,36
./benchmarks/meu/child_2_2023896565.pl,58,59,59
./benchmarks/meu/survey_1_1807131032.pl,10,10,10
./benchmarks/meu/win95pts_2_2023896565.pl,105,114,116
./benchmarks/meu/asia_1_1707665179.pl,5,5,5
./benchmarks/meu/win95pts_1_1807131032.pl,15,36,36
./benchmarks/meu/survey_2_1592975436.pl,17,17,17
./benchmarks/meu/earthquake_2_1707665179.pl,8,8,8
./benchmarks/meu/child_1_1337671202.pl,20,20,20
./benchmarks/meu/sachs_2_1707665179.pl,38,38,38
./benchmarks/meu/earthquake_1_548563996.pl,5,5,5
./benchmarks/meu/child_1_1807131032.pl,20,20,20
./benchmarks/meu/sachs_1_1588920084.pl,18,19,19
./benchmarks/meu/sachs_2_1588920084.pl,38,38,38
./benchmarks/meu/asia_2_2023896565.pl,11,11,11
./benchmarks/meu/survey_2_1707665179.pl,17,17,17
./benchmarks/meu/earthquake_1_1588920084.pl,5,5,5
./benchmarks/meu/earthquake_1_1807131032.pl,5,5,5
./benchmarks/meu/asia_2_1400227407.pl,11,11,11
./benchmarks/meu/survey_1_1588920084.pl,10,10,10
./benchmarks/meu/sachs_2_1337671202.pl,38,38,38
./benchmarks/meu/asia_1_2023896565.pl,5,7,7
./benchmarks/meu/sachs_2_1400227407.pl,36,36,36
./benchmarks/meu/earthquake_2_1337671202.pl,8,8,8
./benchmarks/meu/survey_2_1482723311.pl,17,17,17
./benchmarks/meu/asia_2_769949150.pl,11,11,11
./benchmarks/meu/earthquake_1_2023896565.pl,5,6,6
./benchmarks/meu/survey_1_1592975436.pl,10,10,10
./benchmarks/meu/child_2_1807131032.pl,59,58,58
./benchmarks/meu/asia_1_1588920084.pl,5,6,6
./benchmarks/meu/earthquake_2_548563996.pl,8,8,8
./benchmarks/meu/earthquake_1_1707665179.pl,5,5,5
./benchmarks/meu/win95pts_2_1707665179.pl,108,103,103
