benchmark,width,Xwidth,XDwidth
3.1,10,26,22
3.2,11,26,22
3.3,10,26,22
3.4,10,26,22
3.5,10,25,22
3.6,11,25,11
3.7,10,25,22
3.8,10,25,22
3.9,11,25,11
3.10,10,26,22
4.1,18,40,37
4.2,18,40,38
4.3,18,40,37
4.4,19,41,38
4.5,18,39,37
4.6,18,40,37
4.7,18,40,37
4.8,18,40,37
4.9,18,40,36
4.10,19,40,37
5.1,28,57,53
5.2,28,57,53
5.3,28,56,53
5.4,29,57,54
5.5,29,57,53
5.6,29,57,54
5.7,31,57,54
5.8,28,56,54
5.9,30,55,53
5.10,28,57,53
6.1,39,74,73
6.2,39,74,68
6.3,41,74,72
6.4,39,75,71
6.5,39,76,68
6.6,39,75,68
6.7,39,74,71
6.8,39,74,68
6.9,39,75,72
6.10,39,76,68
7.1,59,97,93
7.2,61,97,95
7.3,59,97,93
7.4,52,95,93
7.5,52,93,93
7.6,60,96,96
7.7,52,96,92
7.8,60,95,91
7.9,58,98,93
7.10,62,97,93
8.1,84,121,119
8.2,99,122,115
8.3,90,120,126
8.4,78,118,123
8.5,91,123,120
8.6,67,119,120
8.7,97,126,117
8.8,73,115,120
8.9,67,121,120
8.10,67,114,114
9.1,84,147,140
9.2,84,145,84
9.3,118,151,144
9.4,100,147,147
9.5,115,152,144
9.6,84,146,143
9.7,111,152,141
9.8,84,144,84
9.9,84,147,143
9.10,124,150,139
10.1,137,184,181
10.2,172,178,173
10.3,157,174,163
10.4,164,184,182
10.5,144,197,184
10.6,127,235,193
10.7,151,200,165
10.8,140,174,180
10.9,126,188,173
10.10,144,187,184
11.1,124,287,265
11.2,124,287,265
11.3,183,287,265
11.4,124,287,265
11.5,124,287,265
11.6,124,287,265
11.7,171,287,265
11.8,178,288,267
11.9,177,287,265
11.10,176,287,265
12.1,147,337,313
12.2,147,337,337
12.3,217,337,313
12.4,240,337,313
12.5,147,337,337
12.6,147,337,313
12.7,147,337,337
12.8,147,337,313
12.9,214,337,313
12.10,147,337,337
13.1,265,391,366
13.2,172,391,366
13.3,172,391,366
13.4,172,391,366
13.5,172,391,365
13.6,172,391,365
13.7,243,391,365
13.8,262,392,365
13.9,256,392,366
13.10,278,391,365
14.1,307,462,435
14.2,199,449,423
14.3,213,450,437
14.4,199,449,423
14.5,279,449,422
14.6,278,449,424
14.7,213,450,424
14.8,394,644,644
14.9,394,641,619
14.10,394,367,356
